corp_code,한글 종목약명,단축코드
10146570.0,비즈니스온,138580
5995950.0,BGF에코머티리얼즈,126600
1547180.0,비츠로셀,082920
2014320.0,비츠로시스,054220
1036440.0,비츠로테크,042370
3695690.0,비케이홀딩스,050090
9800430.0,비큐AI,148780
13267920.0,비투엔,307870
13819840.0,비트나인,357880
2317070.0,비트컴퓨터,032850
11090700.0,비피도,238200
4789000.0,빅솔론,093190
3853630.0,빅텍,065450
5500820.0,빅텐츠,210120
1734490.0,빌리언스,044480
3674820.0,빛과전자,069540
3592610.0,빛샘전자,072950
12839740.0,삐아,451250
8574800.0,사람인,143240
16766420.0,사피엔반도체,452430
15163680.0,산돌,419120
7991770.0,삼기,122350
15268060.0,삼기이브이,419050
1254880.0,삼륭물산,014970
1256460.0,삼목에스폼,018310
3510920.0,삼보모터스,053700
1258220.0,삼보산업,009620
1259380.0,삼보판지,023600
16241620.0,삼성스팩6호,425290
16752270.0,삼성스팩7호,439250
17009210.0,삼성스팩8호,448740
17865140.0,삼성스팩9호,468510
1267880.0,삼아제약,009300
3783630.0,3S,060310
4055060.0,삼영에스앤씨,361670
2506140.0,삼영엠텍,054540
2883430.0,삼영이엔씨,065570
1279090.0,삼일,032280
1279360.0,삼일기업공사,002290
1283150.0,삼지전자,037460
1733510.0,삼진,032750
2395140.0,삼진엘앤디,054090
1285460.0,삼천당제약,000250
1286070.0,삼천리자전거,024950
2396390.0,삼표시멘트,038500
2622660.0,삼현,437730
1289260.0,삼현철강,017480
3011120.0,삼화네트웍스,046390
1296150.0,상보,027580
3061620.0,상상인,038540
16043710.0,상상인제3호스팩,415580
17171700.0,상상인제4호스팩,452670
4807830.0,상신이디피,091580
7609990.0,상신전자,263810
1812990.0,상아프론테크,089980
2320070.0,상지건설,042940
1479940.0,새로닉스,042600
8628800.0,새빗켐,107600
12422410.0,샌즈랩,411080
11997270.0,샘씨엔에스,252990
13871640.0,샤페론,378800
8679730.0,서남,294630
3734470.0,서린바이오,038070
1303830.0,서부T&D,006730
1304080.0,서산,079650
1665280.0,서암기계공업,100660
1532780.0,서연탑메탈,019770
3055700.0,서울리거,043710
4884020.0,서울바이오시스,092190
1307630.0,서울반도체,046890
4109150.0,서울옥션,063170
1305870.0,서울전자통신,027040
1310180.0,서울제약,018680
4457990.0,서원인텍,093920
8692720.0,서전기전,189860
8380050.0,서진시스템,178320
8001450.0,서진오토모티브,122690
5992850.0,서플러스글로벌,140070
1315040.0,서한,011370
2206220.0,서호전기,065710
2198480.0,서희건설,035890
9219160.0,석경에이티,357550
1318960.0,선광,003100
4070360.0,선바이오,067370
3278190.0,선익시스템,171090
1322020.0,선진뷰티사이언스,086710
1323180.0,성광벤드,014620
2164980.0,성도이엔지,037350
3643060.0,성우전자,081580
3504820.0,성우테크론,045300
1329920.0,성우하이텍,015750
12743290.0,성일하이텍,365340
4863700.0,성창오토텍,080470
3172100.0,성호전자,043260
9136890.0,세경하이테크,148150
13058690.0,세니젠,188260
1336630.0,세동,053060
14165720.0,세림B&G,340440
1337510.0,세명전기,017510
1338760.0,세보엠이씨,011560
5347010.0,세아메카닉스,396300
3622010.0,세운메디칼,100700
1735910.0,세원물산,024830
9592290.0,세종메디칼,258830
2680020.0,세종텔레콤,036630
2646710.0,세중,039310
4067270.0,세진티에스,067770
3516300.0,세코닉스,053450
10913820.0,세토피아,222810
11692670.0,세화피앤씨,252500
15936680.0,센서뷰,321370
10233180.0,센코,347000
11145860.0,셀레믹스,331920
3101560.0,셀루메드,049180
12352960.0,셀리드,299660
11824440.0,셀리버리,268600
6660640.0,셀바스AI,108860
10474510.0,셀바스헬스케어,208370
12884100.0,셀바이오휴먼텍,318160
5413490.0,셀트리온제약,068760
3088960.0,셀피글로벌,068940
3635100.0,소니드,060230
6055220.0,소룩스,290690
14421150.0,소마젠,950200
2042260.0,소프트센,032680
11824080.0,소프트캠프,258790
3068700.0,손오공,066910
2499820.0,솔본,035610
14896480.0,솔브레인,357780
2479750.0,솔브레인홀딩스,036830
10507380.0,솔트룩스,304100
13903990.0,솔트웨어,328380
3037940.0,쇼박스,086980
5770160.0,수산아이앤티,050960
2439790.0,수성웹툰,084180
10639540.0,수젠텍,253840
3996940.0,SOOP,067160
10126400.0,슈어소프트테크,298830
11246530.0,슈프리마,236200
5999570.0,슈프리마에이치큐,094840
9178610.0,슈피겐코리아,192440
15552150.0,스마트레이더시스템,424960
5800560.0,스맥,099440
12902480.0,스코넥,276040
8967530.0,스킨앤스킨,159910
3735710.0,스타코링크,060240
4059590.0,스타플렉스,115570
13052490.0,스톤브릿지벤처스,330730
12262700.0,스톰테크,352090
10462030.0,스튜디오산타클로스,204630
11686840.0,스튜디오드래곤,253450
11399650.0,스튜디오미르,408900
15408150.0,스튜디오삼익,415380
1361650.0,스페코,013810
10363670.0,스피어파워,203690
1354670.0,승일,049830
1700260.0,시공테크,020710
1582190.0,시그네틱스,033170
4759850.0,시너지이노베이션,048870
2030230.0,시노펙스,025320
11883780.0,시스웍,269620
12847510.0,시지트로닉스,429270
15795700.0,시큐레터,418250
4021100.0,시큐브,131090
11134990.0,시큐센,232830
9615700.0,신도기연,290520
1359990.0,신라섬유,001000
1360040.0,신라에스지,025870
9199660.0,신라젠,215600
1362260.0,신성델타테크,065350
7611830.0,신성에스티,416180
9586640.0,신스틸,162300
11308490.0,신시웨이,290560
1364480.0,신신제약,002800
17968580.0,신영스팩10호,472220
16563740.0,신영스팩8호,430220
16899380.0,신영스팩9호,445970
1369250.0,신원종합개발,017000
1370580.0,신일제약,012790
5773800.0,신진에스엠,138070
13443360.0,신테카바이오,226330
16164820.0,신한제10호스팩,418210
17191050.0,신한제11호스팩,452980
18095690.0,신한제12호스팩,474660
18077470.0,신한제13호스팩,474930
2283500.0,신화인터텍,056700
9251890.0,신화콘텍,187270
8073790.0,신흥에스이씨,243840
9820230.0,실리콘투,257720
10957220.0,심텍,222800
1521270.0,심텍홀딩스,036710
6591610.0,싸이맥스,160980
12939530.0,싸이버원,356890
10463910.0,싸이토젠,217330
1383030.0,쌍용정보통신,010280
10494220.0,썸에이지,208640
10910540.0,쎄노텍,222420
2395960.0,쎄니트,037760
4492540.0,쎄트렉아이,099320
3574300.0,쎌바이오텍,049960
5617230.0,쏘닉스,088280
3644030.0,쏠리드,050890
1516050.0,CBI,013720
4927060.0,씨싸이트,109670
2494410.0,씨씨에스,066790
10904710.0,씨아이에스,222080
12264100.0,씨앤씨인터내셔널,352480
1492660.0,CNH,023460
6053280.0,씨앤지하이테크,264660
8752370.0,씨앤투스,352700
3186620.0,CNT85,056730
15142270.0,씨어스테크놀로지,458870
3037030.0,CS,065770
7654620.0,씨에스베어링,297090
4060370.0,CSA 코스믹,083660
8000840.0,씨엑스아이,900120
14874460.0,씨엔알리서치,359090
6600330.0,씨엔플러스,115530
6812490.0,씨유메디칼,115480
13150420.0,씨유박스,340810
5751060.0,씨유테크,376290
9912980.0,씨이랩,189330
10710410.0,CJ 바이오사이언스,311690
2653240.0,CJ ENM,035760
1279540.0,CJ프레시웨이,051500
7887730.0,씨젠,096530
4078140.0,CG인바이츠,083790
5206100.0,씨큐브,101240
3622920.0,씨티씨바이오,060590
11440280.0,씨티케이,260930
3498110.0,씨티프라퍼티,052300
16012220.0,씨피시스템,413630
1384460.0,아가방컴퍼니,013990
7619520.0,아나패스,123860
1617810.0,아난티,025980
6119120.0,아모그린텍,125210
2984470.0,아모텍,052710
4664280.0,아미노로직스,074430
5457340.0,아미코젠,092040
4421450.0,아바코,083930
4420480.0,아바텍,149950
1385980.0,아비코전자,036010
1387470.0,아세아텍,050860
9223040.0,아셈스,136410
11572350.0,아스타,246720
4096810.0,아스트,067390
5617320.0,아스플로,159010
6656760.0,아시아경제,127710
10806870.0,아우딘퓨쳐스,227610
8839800.0,아이디스,143160
3595800.0,아이디스홀딩스,054800
12135860.0,아이디피,332370
14144220.0,아이비김영,339950
15167660.0,아이비젼웍스,469750
16754210.0,IBKS제20호스팩,439730
16827400.0,IBKS제21호스팩,442770
17013280.0,IBKS제22호스팩,448760
17857000.0,IBKS제23호스팩,467930
17927910.0,IBKS제24호스팩,469480
16783120.0,아이빔테크놀로지,460470
5509940.0,아이센스,099190
6572240.0,아이스크림미디어,461300
9839340.0,아이스크림에듀,289010
6124890.0,아이쓰리시스템,214430
2983770.0,아이씨디,040910
13028530.0,아이씨에이치,368600
13737090.0,아이씨티케이,456010
3657580.0,아이앤씨,052860
17067940.0,아이언디바이스,464500
5729050.0,ISC,095340
2522690.0,아이에이,038880
13262790.0,아이엘사이언스,307180
6096340.0,아이엠,101390
14973730.0,아이엠비디엑스,461030
3700060.0,iMBC,052220
15461010.0,아이엠티,451220
3656240.0,아이윈,090150
6157230.0,아이윈플러스,123010
2009100.0,아이즈비전,031310
9454570.0,아이진,185490
4072850.0,아이컴포넌트,059100
11468220.0,아이퀘스트,262840
5543520.0,아이큐어,175250
4057190.0,아이크래프트,052460
6260110.0,아이텍,119830
3469110.0,아이톡시,052770
6208680.0,아이티센,124500
14298400.0,아이티아이즈,372800
5799800.0,아이티엠반도체,084850
6922540.0,아이패밀리에스씨,114840
1568950.0,아주IB투자,027360
2011310.0,아즈텍WB,032080
1390830.0,아진산업,013310
4042880.0,아진엑스텍,059120
5951820.0,아톤,158430
11165020.0,아티스트유나이티드,321820
1392050.0,안국약품,001540
2982700.0,안랩,053800
6318370.0,안트로젠,065660
13097950.0,알로이스,297570
4470070.0,알리코제약,260660
2290300.0,알멕,354320
13030290.0,알비더블유,361570
8389620.0,알서포트,131370
8581240.0,알에스오토메이션,140670
13436650.0,RF머트리얼즈,327260
5162460.0,알에프세미,096610
10781780.0,RFHIC,218410
3098310.0,알에프텍,061040
9155080.0,알엔투테크놀로지,148250
14054510.0,알체라,347860
9896190.0,알테오젠,196170
8216070.0,알톤,123750
3642540.0,알티캐스트,085810
2201090.0,알파녹스,043100
6051240.0,알파홀딩스,117670
11822590.0,알피바이오,314140
12652510.0,압타머사이언스,291650
12515950.0,압타바이오,293780
8080860.0,애니젠,196300
13355780.0,애니플러스,310200
12590560.0,애닉,299910
10229020.0,애드바이오텍,179530
7812020.0,애머릿지,900100
10424290.0,액션스퀘어,205500
3480340.0,액토즈소프트,052790
11419420.0,액트로,290740
